1.246875	0x2b0,10
1.249479	0x2ba,8
1.256198	0x2c2,4
1.257325	0x848,8
1.258609	0x2c6,4
1.260245	0x248,14
1.262820	0x240,6
1.264982	0x256,16
1.383252	0x924,8
1.384805	0x92e,6
4.747793	0x92c,2
4.753486	0x266,6
4.759324	0x26e,6
4.761248	0x276,14
4.919673	0x8f4,12
4.922302	0x9a8,20
4.925128	0x9a4,2
4.926029	0x9bc,6
4.927270	0x9c2,8
4.929203	0x9d0,8
4.930602	0x9e6,2
4.932187	0xa34,18
4.935073	0x9a6,2
4.935853	0xa46,4
4.936778	0x9e2,4
5.036666	0x284,4
5.038783	0x934,16
5.043511	0x944,8
5.045341	0xb20,12
5.049164	0x94c,10
5.141313	0x962,6
5.142677	0x224,6
5.143819	0x232,2
5.144940	0x968,4
5.147222	0x956,2
5.149030	0x288,8
5.151714	0x8d0,22
8.188401	0x8e6,4
8.189255	0x8c8,6
8.201670	0x858,60
8.365790	0x58c,26
8.371969	0x5a6,12
8.374945	0x330,6
8.376892	0x336,10
8.486404	0x310,6
8.487609	0x2ec,2
8.488788	0x2ee,10
8.490594	0x316,2
8.492461	0x340,6
8.494313	0x346,14
8.496237	0x318,6
8.498570	0x2fc,10
8.499973	0x306,2
8.500332	0x308,2
8.500895	0x31e,2
8.502482	0x354,4
8.503985	0x5b2,6
8.505478	0x5b8,8
8.609987	0x5c0,34
8.618366	0x5e2,54
8.720327	0x618,18
8.725247	0x688,38
8.730004	0x894,2
8.731314	0x89a,10
8.733928	0x720,20
8.737525	0x73e,12
8.900284	0x78e,26
8.904555	0x7a8,6
8.908792	0x394,42
8.913672	0x7ae,2
8.915022	0x760,12
8.936150	0x7b0,26
8.939571	0x7de,18
8.942372	0x7ca,6
9.048957	0x7d0,6
9.050046	0x3be,6
9.053482	0x3c4,34
9.058368	0x7d6,8
9.060947	0x834,14
9.063401	0x806,14
9.065772	0x81e,10
9.067639	0x778,4
9.169302	0x8a4,2
9.170758	0x8aa,12
28.787075	0x8b6,8
28.788903	0x896,4
