1.245824	0x2b0,10
1.248070	0x2ba,8
1.254151	0x2c2,4
1.255767	0x848,8
1.256991	0x2c6,4
1.258529	0x248,14
1.261261	0x240,6
1.263536	0x256,16
1.267698	0x97c,8
1.269112	0x986,6
2.266851	0x984,2
2.267857	0x266,6
2.269552	0x26e,6
2.271875	0x276,14
2.274819	0x94a,12
2.277791	0xa00,20
2.280446	0x9fc,2
2.281391	0xa14,6
2.282732	0xa1a,8
2.284175	0xa28,8
2.286104	0xa3e,2
2.287693	0xa8c,18
2.315491	0x9fe,2
2.316250	0xa9e,4
2.317102	0xa3a,4
2.318857	0x284,4
2.320671	0x98c,16
2.325256	0x99c,8
2.327255	0xb78,12
2.331142	0x9a4,10
2.334374	0x9ba,6
2.336877	0x224,6
2.339896	0x232,2
2.341329	0x9c0,4
2.343217	0x9ae,2
2.344989	0x288,8
2.348631	0x916,24
3.009789	0x92e,6
3.011576	0x8fc,12
3.017495	0x858,60
3.028130	0x58c,26
3.032544	0x5a6,12
3.052651	0x330,6
3.054458	0x336,10
3.056011	0x310,6
3.056951	0x2ec,2
3.057991	0x2ee,10
3.060089	0x316,2
3.061334	0x340,6
3.062950	0x346,14
3.065320	0x318,6
3.067168	0x2fc,10
3.069242	0x306,2
3.069629	0x308,2
3.070297	0x31e,2
3.071397	0x354,4
3.073299	0x5b2,6
3.075129	0x5b8,8
3.078247	0x5c0,34
3.086644	0x5e2,54
3.118506	0x618,18
3.123378	0x688,38
3.128669	0x894,4
3.129829	0x898,10
3.132365	0x720,20
3.135829	0x73e,12
3.139126	0x78e,26
3.142563	0x7a8,6
3.145818	0x394,42
3.150330	0x7ae,2
3.151363	0x760,12
3.154852	0x7b0,26
3.158057	0x7de,18
3.160105	0x7ca,6
3.161531	0x7d0,6
3.162674	0x3be,6
3.182143	0x3c4,34
3.187042	0x7d6,8
3.189247	0x834,14
3.192449	0x806,14
3.194610	0x81e,10
3.196428	0x778,4
3.198820	0x8a2,12
3.202259	0x8ae,14
7.756778	0x8bc,12
7.759595	0x8c8,2
7.761256	0x8ca,16
8.837669	0x8da,4
8.840285	0x908,14
